Source Location;To;Target Location;Type;Period;Period year;
Laietània (sense determinar);Carthage;Carthage;PA1+TAR DR2-4+TAR;Period 1;a20-20;PASCUAL (1991): Informació de Kn. Annabi.
Laietània (sense determinar);Carthage;Carthage;PA1+TAR DR2-4+TAR;Period 1;a20-20;PASCUAL (1991): Informació de Kn. Annabi.
Laietània (sense determinar);Carthage;Carthage;PA1+TAR DR2-4+TAR;Period 1;a20-20;PASCUAL (1991): Informació de Kn. Annabi.
Laietània oriental;Carthage;Carthage;PA1+TAR   ;Period 1;a14-27;
Canet de Mar - Calella;Carthage;Carthage;PA1+TAR   ;Period 1;a20-20;
Aumedina (Tivissa);Carthage;Carthage;PA1+TAR   ;Period 1;a20-20;
Baix Llobregat;Carthage;Carthage;DR3A-B+TAR;Period 1;a27-37;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Laietània (sense determinar);Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Can Tintorer;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Can Feu;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Can Tintorer;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Sant Vicenç dels Horts;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Can Cabot;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Punta del Morrell;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Laietània oriental;Carthage;Carthage;DR3B+TAR;Period 3-4;25-50;
Laietània (sense determinar);Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Laietània (sense determinar);Carthage;Carthage;DR3A+TAR;Period 1-2;a27-37;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Baix Llobregat;Carthage;Carthage;DR3A+TAR;Period 1-2;a27-37;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Baix Llobregat;Carthage;Carthage;DR3A+TAR;Period 1-2;a27-37;
Baix Llobregat;Carthage;Carthage;DR3+TAR;Period 1-2;a27-37;
Vallès Occidental-Vallès Oriental;Carthage;Carthage;DR3B+TAR;Period 2;14-37;
Laietània occidental;Carthage;Carthage;DR2C+TAR;Period 4;45-55;
Laietània (sense determinar);Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Laietània (sense determinar);Carthage;Carthage;DR2+TAR;Period 3;30-40;
Laietània (sense determinar);Carthage;Carthage;DR2+TAR;Period 3;30-40;
Laietània occidental;Carthage;Carthage;DR2+TAR;Period 3;30-40;
Laietània oriental;Carthage;Carthage;DR2+TAR;Period 3;30-40;
Malgrat de Mar;Carthage;Carthage;DR2D+TAR;Period 5;50-75;
Canet de Mar - Calella;Carthage;Carthage;DR2+TAR;Period 3;30-40;
Mataró;Carthage;Carthage;DR2C+TAR;Period 4;45-55;
Laietània (sense determinar);Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Mas de Gomandí;Carthage;Carthage;DR2+TAR;Period 1-2;a27-54;
La Buada / L'Espluga;Carthage;Carthage;DR2+TAR;Period 1-2;a27-54;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Baix Llobregat;Carthage;Carthage;DR3B+TAR;Period 2;15-30;
Laietània (sense determinar);Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Laietània (sense determinar);Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Laietània occidental;Carthage;Carthage;DR2+TAR;Period 3;30-40;
Laietània oriental;Carthage;Carthage;DR2+TAR;Period 3;30-40;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
Caldes de Montbui;Carthage;Carthage;DR2C-D+TAR;Period 4;45-55;
